Company,Crunchbase,Industries,Location,Select Investors,Funding
Count4Paradigm,https://www.crunchbase.com/organization/4paradigm,"Artificial Intelligence, Information Services, Software","Beijing, Beijing, China","Sequoia Capital China, Industrial and Commercial Bank of China, China Construction Bank, Bank of China, Genesis Capital",$145 
Abnormal Security,https://www.crunchbase.com/organization/abnormal-security,"Cyber Security, Information Technology, Network Security, Security","San Francisco, California, United States",Greylock Partners,$24 
Affectiva,https://www.crunchbase.com/organization/affectiva,"Artificial Intelligence, Automotive, Digital Marketing, Health Care, Human Resources","Boston, Massachusetts, United States","Kleiner Perkins Caufield & Byers, Horizons Ventures, Pegasus Tech Ventures, Trend Forward Capital, National Science Foundation",$60 
AiFi,https://www.crunchbase.com/organization/aifi-c8f8,"Artificial Intelligence, Computer Vision, Retail Technology, Software","Santa Clara, California, United States","Greylock Partners, Plug and Play Ventures, TransLink Capital, Cervin Ventures, Plug and Play Accelerator",$15 
AInnovation,https://www.crunchbase.com/organization/ainnovation,"Artificial Intelligence, B2B, Information Technology, Machine Learning, Software","Haidian, Beijing, China","China Renaissance, CreditEase Fintech Investment Fund, CICC ALPHA, Sinovation Ventures, Chengwei Capital",$116 
Algorithmia,https://www.crunchbase.com/organization/algorithmia,"Artificial Intelligence, Cloud Computing, Developer Tools, Software","Seattle, Washington, United States","Madrona Venture Group, Norwest Venture Partners, Osage University Partners, Rakuten Ventures, Gradient Ventures",$39 
ALICE Technologies,https://www.crunchbase.com/organization/alice-technologies,"Construction, Innovation Management, Real Estate, Software","Menlo Park, California, United States","Lightspeed Venture Partners, Blackhorn Ventures, Merus Capital, Foundamental",$10 
AMP Robotics,https://www.crunchbase.com/organization/amp-robotics,"Artificial Intelligence, Environmental Engineering, Information Technology, Intelligent Systems, Machine Learning, Recycling, Robotics","Louisville, Colorado, United States","Sequoia Capital, Congruent Ventures, BV Investment Partners, Closed Loop Partners, Sidewalk Infrastructure Partners",$23 
ArthurAI,https://www.crunchbase.com/organization/arthur-ai,Software,"New York, New York, United States","Index Ventures, Work-Bench, Homebrew, Jerry Yang, Hunter Walk",$3 
Atomwise,https://www.crunchbase.com/organization/atomwise,"Artificial Intelligence, Health Care, Machine Learning, Medical, Pharmaceutical","San Francisco, California, United States","Tencent Holdings, Y Combinator, Khosla Ventures, Threshold Ventures, Data Collective",$51 
Aurora,https://www.crunchbase.com/organization/aurora-6292,"Automotive, Autonomous Vehicles, Transportation","Palo Alto, California, United States","T. Rowe Price, Baillie Gifford & Co., CPP Investment Board, Sequoia Capital, Index Ventures",$693 
Benson Hill,https://www.crunchbase.com/organization/benson-hill-biosystems,"Agriculture, AgTech, Biotechnology, Cloud Computing, Product Research","St Louis, Missouri, United States","Google Ventures, Alexandria Venture Investments, S2G Ventures, Prelude Ventures, Mercury Fund",$127 
Beyond Limits,https://www.crunchbase.com/organization/beyond-limits,"Artificial Intelligence, Internet of Things, Machine Learning, Software","Glendale, California, United States","BP Ventures, Xcell Group",$20 
Blue Hexagon,https://www.crunchbase.com/organization/blue-hexagon,"Artificial Intelligence, Cyber Security, Machine Learning","San Francisco, California, United States","Benchmark, Altimeter Capital",$37 
Bowery Farming,https://www.crunchbase.com/organization/bowery-farming-inc,"Agriculture, Farming, Food and Beverage, Organic Food, Robotics","New York, New York, United States","Temasek, GGV Capital, Google Ventures, General Catalyst, First Round Capital",$168 
